"","title","date","link","description","article_text"
"1","Will Gen Z give up the driver’s seat?",2025-10-07,"/~/media/mckinsey/email/genz/2025/10/2025-10-07b.html","In the United States, fewer teenagers are getting their driver’s licenses today than in decades past. But they’ll still be on the road—just not in the driver’s seat.","Brought to you by Alex Panas, global leader of industries, & Axel Karlsson, global leader of functional practices and growth platforms

Welcome to the latest edition of Mind the Gap. We hope you find our perspectives useful. Let us know what you think at Alex_Panas@McKinsey.com and Axel_Karlsson@McKinsey.com.

—Alex and Axel

To better serve you and combat inbox overload, we’re changing our email cadence from twice per month to monthly. We’ll be back on November 4 with more of the valuable insights you’ve come to expect from Mind the Gap.

In the United States, fewer teenagers are getting their driver’s licenses today than in decades past. But they’ll still be on the road—just not in the driver’s seat. Instead, Gen Z may be the first generation to fully embrace the idea of not driving at all—transitioning from “drivers” to “riders.” (Hello, “passenger princes and princesses.﻿”) That’s all thanks to the rise of self-driving cars, which are quickly shifting gears from concept or prototype to deployment. The contours of that future state are taking shape, according to McKinsey Senior Partner Philipp Kampshoff and other McKinsey autonomous-vehicle (AV) experts who shared their reflections on the future of self-driving cars. For one thing, the cost of AVs is likely to decline sharply (good news for Gen Zers who already face a high cost of living and for whom car ownership is cost prohibitive). McKinsey research found that costs related to AVs could decrease by 80 percent over the next decade as the lifespans of autonomous-driving systems increase and AV players improve their operations.With a growing fleet of AVs already on the road, how will tomorrow’s self-driving experience differ from today’s? McKinsey Partner Emily Shao posed this question to tech investor Laurie Yoler, who said that AVs of the future could become spaces for relaxation and voice- or audio-based entertainment. But the quality of visual experiences will “depend on how rough the road is,” she said, adding, “Being able to make a great phone call, not worry about the safety of the vehicle, and have personal time or time with friends is going to be excellent.”Kampshoff, for his part, imagines future AVs going one step further: “Why not imagine, instead of robo-taxis, robo-hotel rooms? A hotel room comes to your house, you get into it with your family … and when you wake up, you are in Miami.”In one McKinsey survey from 2023, half of car buyers said they could see themselves switching to an AV in the future. While today’s drivers—Gen Zers included—may be increasingly comfortable with the idea of a fully autonomous future, they may not be willing to hand over the keys just yet. Carmakers still have to build trust with the next generation of riders: by communicating AV safety records more broadly, for example.  Still, the shift from driver to rider is a transformation that could reshape how Gen Zers define and experience mobility—and their independence, too. For decades, freedom on the road meant, for many, gripping the steering wheel. In the decades ahead, freedom may mean letting go.

In 2019, China exported 700,000 cars globally; by 2024, that number rose to 5.5 million, surpassing exports from Japan, Mexico, and Germany.﻿

Hold the algorithm. Inside the invite-only WhatsApp groups, Instagram sellers, and Substack newsletters that are turning vintage shopping into a communal event. [Bustle]

"
"2","What do Gen Zers want for the holidays?",2025-09-23,"/~/media/mckinsey/email/genz/2025/09/2025-09-23b.html","Is it ever too soon to shop for the holidays? While other generations tend to say no—and start their holiday shopping earlier every year—Gen Z is more likely to stick to a traditional schedule.","Brought to you by Alex Panas, global leader of industries, & Axel Karlsson, global leader of functional practices and growth platforms

Welcome to the latest edition of Mind the Gap. We hope you find our perspectives useful. Let us know what you think at Alex_Panas@McKinsey.com and Axel_Karlsson@McKinsey.com.

—Alex and Axel

Is it ever too soon to shop for the holidays? While other generations tend to say no—and start their holiday shopping earlier every year—Gen Z is more likely to stick to a traditional schedule.In the latest McKinsey ConsumerWise survey on consumer sentiment, 17 percent of Gen Zers in the United States say that Black Friday, which usually falls on the last Friday in November (the day after Thanksgiving), marks the beginning of their holiday shopping season. That’s higher than the 11 percent average for consumers across age groups, according to Senior Partner Becca Coggins and coauthors. The explanation may stem from a different perception about savings. Gen Zers are just as value conscious as older consumers, but they tend to have less disposable income. If Zoomers think that Black Friday is the savings event of the season, they may be holding off on making purchases until then. “I choose Black Friday weekend specifically for all the incredible sales and savings,” said one Gen Z survey respondent. “That’s when I get the most bang for my buck, and it makes holiday shopping less daunting and more manageable.”The numbers support this enthusiasm. In 2024, US consumers spent $10.8 billion on Black Friday alone, with online sales showing year-over-year growth even as in-store sales trailed when adjusted for inflation. Once the undisputed heavyweight of retail events, Black Friday now competes with midsummer promotional events from online retailers. Still, it’s gaining traction outside the United States; retailers and e-commerce players in India, for example, have dedicated more resources to Black Friday in recent years. (And in case you were wondering why the frenzied exchange of greenbacks for goods is called Black Friday, read this.)Cultural relevance may play a role for Gen Zers, too. Posting a Black Friday haul on social media could drive higher engagement for influencers and noninfluencers alike than a post about a random Tuesday-in-October bargain. On one platform popular among Zoomers, there were 30,000 livestreams on Black Friday in 2024, while posts numbered in the millions and views in the billions. In other words, it’s as much about participating in a shared experience as it is about saving money.That said, broader consumer caution is likely to shape the holiday shopping season. Coggins and coauthors found that spending on discretionary categories overall is expected to decline as households focus more on essentials. In a recent episode of the McKinsey on Consumer & Retail podcast, Senior Partner Emily Reasor says that “shoppers are timid this year, which is part of why we see people planning ahead more and changing their spending patterns.”Still, Gen Zers plan to spend on some categories in 2025. Twenty-seven percent of Gen Zers said they planned to splurge on apparel, compared with 23 percent of consumers across all ages. Also ranking higher for Gen Z than for older consumers: electronics for home or personal use, beauty and personal care, and jewelry and accessories. So, while older shoppers may be moving on from Black Friday, the holiday retail ritual remains alive and well for Gen Zers, who are blending tradition and digital community into their own kind of seasonal celebration.

The job market for AI-related roles has expanded, with a 35 percent increase in job postings from 2023 to 2024.

Musk-haves. Surprisingly, social media—not the classic in-store spritz—is catapulting sales of this product. [Ad Age]

"
"3","A new playbook for leading Gen Z—and world-class teams",2025-09-09,"/~/media/mckinsey/email/genz/2025/09/2025-09-09b.html","In the United States, college football season has arrived and Gen Zers are back on campus to rally behind their teams. Off the field, there are plenty of lessons to glean from some of the best coaches in sports about developing young employees.","Brought to you by Alex Panas, global leader of industries, & Axel Karlsson, global leader of functional practices and growth platforms

Welcome to the latest edition of Mind the Gap. We hope you find our perspectives useful. Let us know what you think at Alex_Panas@McKinsey.com and Axel_Karlsson@McKinsey.com.

—Alex and Axel

In the United States, college football season has arrived and Gen Zers are back on campus to rally behind their teams. Off the field, there are plenty of lessons to glean from some of the best coaches in sports about developing young employees.McKinsey Senior Partner Kevin Carmody and his coauthors spoke to more than 25 athletes, coaches, general managers, trainers, and other critical contributors to successful professional and Division I sports programs across the country. Among the topics their conversations covered, several of which are especially relevant for shorter-tenured employees: how to set and maintain the right standards for teams and organizations, engender diversity in both personnel and thought, create a clear and compelling operating playbook, and embed resilience in teams and organizations.Among the most important lessons? Everyone matters, not just the stars. Former Notre Dame football player Pat Eilers recalls how legendary coach Lou Holtz treated walk-ons, student managers, and Heisman Trophy winners with equal respect. For workplace managers, that means not focusing on a person’s job title and tenure when considering different points of view; make sure to create space for junior employees’ ideas to be heard too. Likewise, in the same way that the walk-on athlete noted in the article set the standard for a Division I program through his work ethic, younger employees can exert outsize influence by modeling creativity and effort. That influence grows when leaders delegate meaningful responsibilities to junior team members, giving them the chance to stretch, own projects, and develop their own decision-making muscles.Several sports leaders also pointed out that junior players often bring energy and ambition, while veterans offer perspective and steadiness. Too many of either can tip a team off course. As Brian Wright, general manager of the San Antonio Spurs, explains: “Everyone on the team has a critical role to play in ensuring the success of the group. We win by engaging everyone, not just our star players.” For Gen Z employees, that ethos reinforces the importance of belonging and contribution—knowing they’re part of something bigger than themselves.Communication is critical, too. Kevin Sullivan, director of track and field at the University of Michigan, says much of his role involves one-on-one discussions to reassure and reinforce plans with young athletes so they feel confident in the path forward. And as former Notre Dame volleyball player Ella Sandt notes, feedback is most valuable when it is candid, two-way, and provided in real time—an approach that resonates with a generation that prizes authenticity, both on the field and in the workplace.

In Europe, better pay and benefits may sway people to change jobs. But other factors, including training and development opportunities and flexible working, also matter to job seekers.﻿

﻿Code green. These twentysomethings are making millions of dollars per year thanks to their AI know-how. [WSJ]

"
"4","Want to drive AI upskilling? Tap Gen Z and millennials",2025-08-12,"/~/media/mckinsey/email/genz/2025/08/2025-08-12b.html","Companies are pouring money into all kinds of AI-based tools—including gen AI, agentic AI, and automation—and in general, employees have shown that they are eager to use them.","Brought to you by Alex Panas, global leader of industries, & Axel Karlsson, global leader of functional practices and growth platforms

Welcome to the latest edition of Mind the Gap. We hope you find our perspectives useful. Let us know what you think at Alex_Panas@McKinsey.com and Axel_Karlsson@McKinsey.com.

—Alex and Axel

Companies are pouring money into all kinds of AI-based tools—including gen AI, agentic AI, and automation—and in general, employees have shown that they are eager to use them. What is holding many companies back is a lack of formal AI training and organizational support.Nearly half of respondents in one McKinsey survey reported a desire for a formal training program in AI and technology. That same survey found that only 28 percent of organizations plan to invest in upskilling programs over the next two to three years, suggesting that their workforces could be left behind as the technology continues to advance—and that implementation challenges could cloud even the most well-funded AI transformations.Millennials and Gen Zers: This is your moment. According to a report from McKinsey Senior Partner Lareina Yee and coauthors, these two generations are poised to play a key role in AI adoption across organizations because they have the highest rates of self-reported AI proficiency and expertise. In both groups, which collectively include 18-to-44-year-olds, up to 90 percent report feeling comfortable using gen AI at work. Zoomers’ confidence in using gen AI may not be surprising, since many began using gen AI in school (a trend that shows no signs of abating).Now that a majority of managers in the workforce are millennials, they have a real opportunity to create change. To boost organization-wide confidence in learning how to use AI—and thus increasing the adoption of it—millennial managers (and managers of all ages, really) can consider a few actions, according to McKinsey’s Global Managing Partner Bob Sternfels and Senior Partner and CFO ﻿Yuval Atsmon:

Encourage, don’t dictate. Rather than outlining precisely how employees should use AI, managers can encourage their direct reports and colleagues to experiment with AI in creative—and ideally transformative—ways. According to Sternfels, one company’s customer service teams were using AI chatbots to draft responses to customers, often dramatically reducing their response times. Some managers, worried about security or governance, shut down those experiments; other managers, meanwhile, studied what made them successful, refined the approaches, and helped scale them. In short: Nurture what’s already growing.

Last year, nearly half of global airlines generated returns that exceeded their overall costs.﻿

﻿Say ‘(A)I do.’ Some nearly-weds are using gen AI to streamline their wedding vows. [NYT]

"
"5","Three ways Gen Zers can make AI work for themselves",2025-07-29,"/~/media/mckinsey/email/genz/2025/07/2025-07-29b.html","For the recent college graduates who haven’t found their first jobs yet: You’re not alone. In the United States, the job market for recent graduates is the toughest it has been in years—no surprise to Gen Zers who are applying into the void.","Brought to you by Alex Panas, global leader of industries, & Axel Karlsson, global leader of functional practices and growth platforms

Welcome to the latest edition of Mind the Gap. We hope you find our perspectives useful. Let us know what you think at Alex_Panas@McKinsey.com and Axel_Karlsson@McKinsey.com.

—Alex and Axel

For the recent college graduates who haven’t found their first jobs yet: You’re not alone. In the United States, the job market for recent graduates is the toughest it has been in years—no surprise to Gen Zers who are applying into the void. Data from other countries, including the United Kingdom and South Korea, also point to challenges, though not always for the same reasons.In a recent episode of McKinsey Talks Talent, McKinsey Senior Partner Brooke Weddle and Partner Bryan Hancock spoke with Indeed’s chief economist, Svenja Gudell, who says that one word sums up today’s labor market: uncertainty. Gudell points out that for companies, aging workforces, macroeconomic fluctuations, and ﻿the rise of AI are colliding to create more questions than answers about whether and whom to hire. She confirms what many Zoomers are likely experiencing: There are fewer available internships and entry-level positions, and part-time positions are more prevalent than full-time jobs. Taken together, this means that young job seekers may face an exceptionally competitive and fragmented labor market, in which access to early work experience could require more persistence, flexibility, and creativity than in previous years.As AI reshapes the roles companies hire for, the skills employers seek, and the way work gets done, there is some good news. “I think this is the first time we’ve seen a disruption be not only the disruptor but also potentially the vehicle to help you live through that disruption,” Gudell says.For Gen Zers, getting ahead means embracing AI—no matter their educational backgrounds. Here are three ways that Zoomers can take advantage of and align themselves with AI trends to stay a few steps ahead of job market changes:

Move toward emerging roles and fieldsBig leaps in technological development are always accompanied by the creation of new jobs. In the case of gen AI and agentic AI, there’s been an uptick in the need for prompt engineers, AI auditors, AI translators, and “consistency coordinators.” Meanwhile, emerging “arenas of competition” (or sectors that are likely to see high growth and dynamism over the next several years) include cybersecurity, future air mobility, modular construction, nonmedical biotechnology, and drugs for obesity and related conditions.

Give your résumé an AI upgradeRésumés are still critical to the job application process. But Gudell suggests exploring non-PDF mediums, such as a customized website. Using AI-based website builders is a particularly innovative way for candidates to demonstrate their AI skills even before a first interview. It can also showcase creativity, a high-priority skill in the AI age.

Upskill with AI in mindThe increasing use of AI at work means that employers are prioritizing new skills when they hire, and the focus on AI is not specific to any one sector. Employees across industries will need to upgrade their skill sets—which is lucky for Gen Zers, who are likely to take an interest in upskilling if it means getting a better job. One McKinsey survey found that 63 percent of workers aged 18 to 24 and 53 percent of those aged 25 to 34 were eager to upskill (and at higher rates than their older colleagues). At the same time, Zoomers should keep in mind that other qualities are also in high demand: for example, the ability to evaluate data and having strong social and emotional skills.

Workers are adopting AI technology faster than many of their leaders realize.

Stare masters. This Gen Z behavior highlights a generational divide—as well as what happens when social skills are underdeveloped. [NYT]

"
"6","What the summer internship search taught one Gen Zer",2025-07-15,"/~/media/mckinsey/email/genz/2025/07/2025-07-15b.html","“Who here feels positive about the economy?” one of my college professors asked our class last year. No response. “Negative? Unsure?” Then, nearly every student in the hall—including me—lifted their hand into the air.","Brought to you by Alex Panas, global leader of industries, & Axel Karlsson, global leader of functional practices and growth platforms

Welcome to the latest edition of Mind the Gap. We hope you find our perspectives useful. Let us know what you think at Alex_Panas@McKinsey.com and Axel_Karlsson@McKinsey.com.

—Alex and Axel

This edition of Mind the Gap comes to you from McKinsey Global Publishing intern (and Gen Zer) Abby Shewmaker.

“Who here feels positive about the economy?” one of my college professors asked our class last year. No response. “Negative? Unsure?” Then, nearly every student in the hall—including me—lifted their hand into the air.Some cited a labor market they perceived to be stagnant, student loan debt, and inflation as contributing factors to their economic anxiety (it’s no surprise that “recession indicator” memes abound). For many of us, it feels like there’s an “end to predictable progress.” Meanwhile, gen AI’s proliferation is leading Gen Zers to pursue “AI-proof” trade professions.Next, my professor pointed to a disconnect: Research shows Gen Z workers in the United States are paid more, are more educated, and experience higher levels of employment than previous generations. Indeed, those findings are echoed in a recent report on consumer behavior from McKinsey Senior Partner Becca Coggins and her coauthors.Still, my classmates and I treated the internship search like an endurance sport. We scrolled through summer job postings online and applied to dozens of positions, vying for what could be a life-changing opportunity—no matter how unlikely it seemed we’d hear back. We passed around the same black blazer for interviews, celebrated wins, and consoled each other after losses. Despite our frustrations, we viewed the coveted summer internship as a one-way ticket to financial security and upward mobility (assuming we also could land the elusive return offer once the internship ended).After the turbulence of the past five years, not to mention the shifting workforce dynamics— thanks in part to the explosion of remote work and gen AI and agentic AI—Gen Zers like me are looking for some stability. As a result, I narrowed my internship search to jobs in growing fields. Perhaps this pragmatism is all just part of growing up. But when it feels like the world is changing at light speed, the search for steady ground becomes more appealing.That’s why so many students cling to the hope that they can land a summer internship. Tales of college seniors who successfully turned their three-month stints into full-time jobs spread faster than the latest dance craze on social media. Stories about job satisfaction after that return offer, however, aren’t nearly as prevalent. Securing a postgraduation job offer feels like crossing the finish line when it’s actually the warm-up lap.In the end, I did find a summer internship. It’s been eye-opening, particularly as I learn how to experiment with AI in the workplace. Interning is just the beginning, of course, not the apex of what I will accomplish over the course of my working life.Over the past few months, I’ve realized that the focus on landing your first job creates a singular view of success, one that revolves around financial milestones and security. It’s not wrong to crave that security, but for me, this perspective has been limiting. In my view, success for Gen Z means being willing to take risks, expanding the scope of possible career paths, and learning to evolve with the job market.That thought doesn’t fill me with anxiety, though. It fills me with hope.

Compared with the average worker, those with jobs in computers and mathematics, business and financial operations, and management prefer hybrid and fully remote work at higher rates.

#Dumbphone. Mobile devices and other “nostalgia tech” that were popular in the early aughts have made a resurgence on social media. [NYT]

"
"7","How to capture Gen Z’s attention",2025-07-01,"/~/media/mckinsey/email/genz/2025/07/2025-07-01b.html","For Gen Z especially, media multitasking is the norm. It is so prevalent in people’s professional and personal lives that, on average, Americans of all ages now spend roughly 13 hours a day engaging with media. That’s just one finding in a new report about the attention economy from McKinsey Senior Partners Kabir Ahuja and Marc Brodherson and coauthors, who developed an “attention equation” to measure the true value of consumers’ time spent with media.","Brought to you by Alex Panas, global leader of industries, & Axel Karlsson, global leader of functional practices and growth platforms

Welcome to the latest edition of Mind the Gap. We hope you find our perspectives useful. Let us know what you think at Alex_Panas@McKinsey.com and Axel_Karlsson@McKinsey.com.

—Alex and Axel

“Another day of staring at the big screen while scrolling through my little screen as a reward for staring at the medium screen all week,” or so the meme goes. The joke about the big-little-medium screens has made the rounds for years, and for good reason: It’s a sharp take on our hyperdigital lives. We bounce among TVs, phones, and laptops day after day, often using one screen to “take a break” from another. For Gen Z especially, media multitasking is the norm. It is so prevalent in people’s professional and personal lives that, on average, Americans of all ages now spend roughly 13 hours a day engaging with media. That’s just one finding in a new report about the attention economy from McKinsey Senior Partners Kabir Ahuja and Marc Brodherson and coauthors, who developed an “attention equation” to measure the true value of consumers’ time spent with media.In today’s media-saturated world, capturing eyeballs isn’t enough to fully capture consumer attention. Instead, brands need to earn “valuable attention,” which the report identifies as a mix of focus (how deeply someone is engaged with content) and intent (why they’re engaging in the first place).That means that anyone with a stake in the attention economy—brands, but also influencers and platforms—can no longer rely on long-used metrics (such as impressions, time spent, or audience size) to determine whether consumers are engaged enough to buy their product or service. A scroll isn’t always a signal, and a click doesn’t guarantee connection, especially with Gen Z. After surveying more than 7,000 people globally, the authors found that Gen Zers aren’t less focused than other consumers; they’re just focused on different things. Consider this: Gen Z and boomers report similar levels of average attention, but where that attention goes varies. For Gen Z, peak focus happens during video games; for boomers, it’s while reading the newspaper. The biggest gap? Live sports. Boomers are locked in at the stadium, while Gen Z is a bit more focused when they watch from the couch. For Gen Z, how they engage also depends on why they’re engaging in the first place. Sometimes they’re consuming media as passive entertainment. Other times, they are trying to learn, connect with others, or seek inspiration. Understanding their purpose for consuming media is critical to meeting them in the right moment with the right message.Three rules can help players in the attention economy better reach Gen Z:1. Context is everythingTailor messaging to the moment. The report found that if an advertisement resonates with a consumer (for example, a consumer thinks, “This ad is meant for me”) and the context in which it’s placed makes sense (for example, a funny ad appears alongside a funny show), the ad has a better chance of driving sales compared with an ad that doesn’t do this.2. Rethink segmentationInstead of treating Gen Z as one big group (it’s standard practice to segment media consumers by demographics, income, and spend), it’s better to segment them based on their underlying attitudes and beliefs. The research identified seven distinct consumer segments based on Gen Zers’ perspectives on content consumption; among them: entertainment omnivores, immersion seekers, tech-savvy legacy viewers, and free-content browsers. 3. Look for underpriced pockets of high focusWherever the value of attention is greater than the cost of advertising, there’s an opportunity to advertise in new ways that resonate with Gen Z (particularly in video games). But these ads should not affect the consumer experience.The winners in this new attention equation? Not those who shout the loudest but those who show up in the right places and engage meaningfully with their audiences.

A McKinsey survey found that 90 percent of customers are willing to wait at least two to three days for their deliveries if the shipping is free.﻿

The AI gender gap. Women are more likely to work in jobs and fields that could be automated—and they’re also less likely to adopt AI than men. It’s time to change that, writes this author. [FT]

"
"8","Gen Z is on track to be the wealthiest generation",2025-06-17,"/~/media/mckinsey/email/genz/2025/06/2025-06-17b.html","In the five years since the COVID-19 pandemic began, so much about the world has changed—especially for Gen Zers, many of whom have gotten their first jobs during that time and have increased their spending.","Brought to you by Alex Panas, global leader of industries, & Axel Karlsson, global leader of functional practices and growth platforms

Welcome to the latest edition of Mind the Gap. We hope you find our perspectives useful. Let us know what you think at Alex_Panas@McKinsey.com and Axel_Karlsson@McKinsey.com.

—Alex and Axel

In the five years since the COVID-19 pandemic began, so much about the world has changed—especially for Gen Zers, many of whom have gotten their first jobs during that time and have increased their spending.For consumer brands and retailers, understanding Gen Z consumers and their spending behaviors presents a host of opportunities. That’s one of five takeaways that McKinsey Senior Partner Becca Coggins and coauthors identify in the State of the Consumer 2025 report, which focuses on the biggest consumer shifts that have emerged since 2020.Gen Zers are projected to make up not only the largest but also the wealthiest generation in history. The authors note that in the United States, the average 25-year-old Gen Zer has a household income of $40,000, which is 50 percent higher than the average baby boomer’s income was at the same age (accounting for government transfers, inflation, and taxes). Gen Z spending is also growing twice as fast as previous generations’ spending did at the same age and is expected to eclipse baby boomers’ spending globally by 2029, according to the report.These data are compelling, to be sure, but there’s more to the story. While they may have cash in their pockets, Gen Zers across the world say they feel stressed about their finances (contributing to this stress are a sustained period of high inflation, increased living costs, and high levels of student debt). Their concerns about money have also affected how they view life stage milestones, the State of the Consumer research finds. Gen Zers are less likely than older generations to define themselves according to whether they get married or have children and are much more likely to define themselves based on achievements related to financial security (such as career success and wealth creation).Despite their financial worries, Gen Zers still prioritize spending, the report finds. They are more willing than older consumers to splurge and take on debt. Additionally, they are more inclined to buy on credit (13 percentage points higher than other generations on average) and to use “buy now, pay later” services (especially Gen Zers in China, India, and the United Arab Emirates).To seize the Gen Z opportunity, consumer-facing businesses can create and communicate about products and services that Gen Zers deem splurge-worthy—which usually means it’s on trend or a Zoomer’s peers have talked about it. To that end, investing in AI and machine learning tools to help develop a better understanding of what Gen Zers value is key, Coggins and her coauthors find. One thing Zoomers will pay a premium for, for instance, is convenience.Gen Zers are not just coming of age; they’re coming for the checkout with unprecedented spending power.

The size of global working-age populations is expected to peak in three waves—and the first is nearing its end.﻿

Stage presence. Broadway’s latest act: mirroring Gen Z. [AP]

"
"9","Why Gen Zers are wellness ‘maximalists’",2025-06-03,"/~/media/mckinsey/email/genz/2025/06/2025-06-03b.html","From supplement stacking to sleep tracking, Gen Zers are helping to rewrite the rules of the $2 trillion global wellness industry.","Brought to you by Alex Panas, global leader of industries, & Axel Karlsson, global leader of functional practices and growth platforms

Welcome to the latest edition of Mind the Gap. We hope you find our perspectives useful. Let us know what you think at Alex_Panas@McKinsey.com and Axel_Karlsson@McKinsey.com.

—Alex and Axel

From supplement stacking to sleep tracking, Gen Zers are helping to rewrite the rules of the $2 trillion global wellness industry.That’s one of the main takeaways from a new report by McKinsey Partner Anna Pione and coauthors. Their research finds that younger consumers—especially Gen Zers and millennials—are not only disproportionately driving wellness spending but also redefining it. In a survey of more than 9,000 consumers across China, Germany, the United Kingdom, and the United States, nearly 30 percent of US Gen Z and millennial respondents say they are prioritizing wellness “a lot more” than they were a year ago, compared with up to 23 percent of older generations. These findings, which are similar across geographies, translate into dollars spent. In the United States, Gen Z and millennials account for 36 percent of the adult population but 41 percent of annual wellness spending. Compare that with consumers aged 58 and older, who make up 35 percent of the population but only 28 percent of wellness spending in the United States. This shift is reshaping the entire consumer health industry and expanding the scope of what counts as “wellness.” While older generations might equate wellness with the core components of physical health, Gen Z consumers see it as a 360-degree approach to living better that includes dimensions such as sleep, mindfulness, and even appearance (hello, “skin cycling” and collagen gummies). Younger consumers are also more likely than other age groups to be what Pione and team call “maximalist optimizers.” These are digitally savvy consumers who experiment with a wide range of health and wellness products and conduct extensive research to discover what works best for them. They’re into functional nutrition (think food and beverage products that promote increased energy levels, better gut health, stronger immune systems, and improved muscle, bone, and joint support); cosmetic procedures and antiaging treatments; and, despite their relative youth, longevity-focused products and services.As Gen Zers continue to age, one question looms: Will they settle into the same basic wellness routines as the generations that preceded them, or will their preferences reshape the category for everyone else? While some of their purchases are connected to specific life stages, the report finds that consumers in all age groups are spending on products and services beyond what might be considered a core wellness product or service for their age group.For instance, younger generations are more likely than others to travel more than two hours for trips intended to improve their mental, physical, or spiritual well-being. However, these types of wellness retreats are also being targeted to retirees, the report finds, suggesting that other wellness preferences of today’s younger consumers could become mainstream across different age groups.To Zoomers—and, increasingly, to everyone else—wellness is no longer just about living longer; it’s about living better. And while Gen Zers are more willing than other age groups to spend on certain wellness goods and experiences, they’re also looking for value. For companies, that means that product quality and efficacy are important purchase considerations for this cohort. In the wellness world, hype fades fast—but results don’t.

More than three-quarters of Gen Zers in Europe purchase on-the-go food at least once a month, far more often than older shoppers do.

Dry me a river. What does “dry texting” have to do with conflict-averse teens? [Vox]

"
"10","This generation is opting into office life",2025-05-20,"/~/media/mckinsey/email/genz/2025/05/2025-05-20b.html","Here’s what you might expect from the usual discourse around return-to-office policies, based on generational stereotypes: Senior leaders want in-person attendance; younger employees demand flexibility. But the data tell a different story.","Brought to you by Alex Panas, global leader of industries, & Axel Karlsson, global leader of functional practices and growth platforms

Welcome to the latest edition of Mind the Gap. We hope you find our perspectives useful. Let us know what you think at Alex_Panas@McKinsey.com and Axel_Karlsson@McKinsey.com.

—Alex and Axel

Here’s what you might expect from the usual discourse around return-to-office policies, based on generational stereotypes: Senior leaders want in-person attendance; younger employees demand flexibility. But the data tell a different story.The youngest workers in the US labor force—those aged 18 to 24—are actually the least enthusiastic about remote work, according to new research from McKinsey Senior Partner Nora Gardner and coauthors. Only 36 percent said they preferred it, compared with 59 percent of 25-to-34-year-olds. It’s a counterintuitive trend, especially in a world where hybrid and remote work are often framed as essential to attracting the next generation of talent. (While the research surveyed US workers, there’s evidence that Gen Zers are leading the return-to-office push in other countries, such as the United Kingdom.)So, what’s going on?For early-career employees, work isn’t just about task execution—meaningful work matters, which means that learning the ropes and building networks do, too. These are things that can be harder to achieve through a computer screen (plus, that would-be great office outfit makes an appearance only from the neck-up on a video call).But here’s the rub: While younger workers may be less drawn to fully remote work, they’re also the least likely to have access to flexible arrangements. Research shows a notable gap—about 20 percentage points—between how much remote work they want and how much they get, which is the largest such gap across all age groups.Meanwhile, more experienced employees—often with families and established professional networks—are leaning into remote. Many have more leverage to do so: Workers over 25, those with higher incomes, and those with advanced degrees are more likely to have access to remote work.This gap creates a new tension: How do organizations bring younger employees on-site to support their growth while ensuring that senior colleagues are there to offer mentorship?Some companies are rethinking how they co-locate. “Anchor weeks,” for example, bring everyone together periodically for targeted collaboration and training. Some are opting for purposeful in-person moments—onboarding, project kickoffs, and leadership development programs—rather than daily presence.By the way, five days in-office may be the norm for some companies, but not all: On average, workers are going into the office less than they did before the pandemic. Real estate companies have a role to play too: By reimagining office locations, incorporating experiential elements, and offering flexible leases, they can help companies experiment with operating models and ease the tension between return-to-office evangelists and stay-at-homers.As for employers, the key isn’t simply mandating time in the office. It’s articulating why it matters. For Gen Z, that “why” often revolves around mentorship, community, and career progression. But for those benefits to materialize, experienced colleagues need to show up too. PSA: Physical presence does not guarantee impact; purposeful in-person presence can be just as powerful as dedicated moments of virtual collaboration and mentorship.Flexibility remains a top driver for job seekers, alongside compensation and advancement opportunities. Organizations that offer tailored, purpose-driven hybrid models may be better positioned to bridge the generational gap and build stronger, more connected teams.

In Europe, children of highly educated parents are three times as likely as peers with less educated parents to achieve high levels of education themselves.﻿

﻿Exhibit Z. Five charts offer a snapshot of Gen Z’s economic and social POV. [Bloomberg]

"
